ID_Tienda,SKU,Categoria,Stock_Actual,Velocidad_Venta_Fisica_Diaria,Cola_Pedidos_Online,Pct_Margen,Distancia_Hub_km,Tiene_Infra_SFS,Personal_Picking_Disponible
T01_Merida_Centro,SKU-TV55-001,Electronica,42,8,35,22.5,285,Si,6
T01_Merida_Centro,SKU-ARR-012,Perecederos,310,95,12,8.2,285,Si,6
T02_Merida_Norte,SKU-LAP-003,Electronica,28,5,48,19.8,290,Si,5
T02_Merida_Norte,SKU-ACE-045,Basicos,520,160,8,5.1,290,Si,5
T03_Cancun_HZ,SKU-AUD-007,Electronica,65,12,62,25.3,380,Si,7
T03_Cancun_HZ,SKU-LAC-033,Perecederos,180,110,18,7.5,380,Si,7
T04_Cancun_Centro,SKU-TV65-002,Electronica,18,6,55,24.1,375,Si,6
T04_Cancun_Centro,SKU-PAN-051,Basicos,410,130,5,4.8,375,Si,6
T05_Playa_Carmen,SKU-CEL-009,Electronica,35,7,41,21.7,360,No,2
T05_Playa_Carmen,SKU-FRU-028,Perecederos,260,88,9,9.1,360,No,2
T06_Chetumal,SKU-TAB-004,Electronica,22,4,29,20.4,450,No,1
T06_Chetumal,SKU-CAR-061,Basicos,380,105,3,5.5,450,No,1
T07_Campeche,SKU-TV55-001,Electronica,30,6,22,22.5,195,No,3
T07_Campeche,SKU-HUE-037,Perecederos,200,75,7,8.8,195,No,3
T08_Villahermosa_Centro,SKU-LAP-003,Electronica,50,9,38,19.8,160,Si,5
T08_Villahermosa_Centro,SKU-DET-055,Basicos,600,180,14,6.3,160,Si,5
T09_Villahermosa_Sur,SKU-AUD-007,Electronica,40,8,33,25.3,170,No,2
T09_Villahermosa_Sur,SKU-POL-042,Perecederos,150,65,6,7.9,170,No,2
T10_Tuxtla_Gutierrez,SKU-CEL-009,Electronica,25,5,27,21.7,320,No,3
T10_Tuxtla_Gutierrez,SKU-ARR-012,Perecederos,340,100,10,8.2,320,No,3
T11_Tapachula,SKU-TV65-002,Electronica,15,3,19,24.1,410,No,1
T11_Tapachula,SKU-ACE-045,Basicos,290,85,4,5.1,410,No,1
T12_Oaxaca_Centro,SKU-LAP-003,Electronica,32,6,31,19.8,280,No,2
T12_Oaxaca_Centro,SKU-FRU-028,Perecederos,220,80,8,9.1,280,No,2
T13_Oaxaca_Norte,SKU-TAB-004,Electronica,20,4,24,20.4,285,No,1
T13_Oaxaca_Norte,SKU-PAN-051,Basicos,350,110,6,4.8,285,No,1
T14_Coatzacoalcos,SKU-TV55-001,Electronica,38,7,36,22.5,220,No,3
T14_Coatzacoalcos,SKU-LAC-033,Perecederos,270,90,11,7.5,220,No,3
T15_Minatitlan,SKU-AUD-007,Electronica,19,3,18,25.3,235,No,1
T15_Minatitlan,SKU-DET-055,Basicos,450,140,5,6.3,235,No,1
T16_Veracruz_Puerto,SKU-CEL-009,Electronica,55,10,45,21.7,140,Si,6
T16_Veracruz_Puerto,SKU-HUE-037,Perecederos,310,105,15,8.8,140,Si,6
T17_Veracruz_Boca,SKU-TV65-002,Electronica,24,5,39,24.1,145,No,3
T17_Veracruz_Boca,SKU-ARR-012,Perecederos,280,92,10,8.2,145,No,3
T18_Xalapa,SKU-LAP-003,Electronica,45,8,34,19.8,175,Si,4
T18_Xalapa,SKU-CAR-061,Basicos,480,150,9,5.5,175,Si,4
T19_Cordoba,SKU-TAB-004,Electronica,28,5,21,20.4,200,No,2
T19_Cordoba,SKU-POL-042,Perecederos,190,70,7,7.9,200,No,2
T20_Orizaba,SKU-TV55-001,Electronica,16,3,16,22.5,210,No,1
T20_Orizaba,SKU-ACE-045,Basicos,360,115,4,5.1,210,No,1
T21_Acapulco,SKU-CEL-009,Electronica,33,6,30,21.7,340,No,2
T21_Acapulco,SKU-FRU-028,Perecederos,240,85,11,9.1,340,No,2
T22_Chilpancingo,SKU-AUD-007,Electronica,21,4,17,25.3,310,No,1
T22_Chilpancingo,SKU-PAN-051,Basicos,300,95,3,4.8,310,No,1
T23_Ixtapa_Zihua,SKU-TV65-002,Electronica,12,2,14,24.1,390,No,0
